partner,year,value_million,world_total,world_share
CHN,2014,34312.04501472037,359019.88,9.5571432
RUS,2014,40345.3510470679,359019.88,11.237638
CHN,2015,21135.74996049018,224678.23,9.4071198
RUS,2015,30124.39870412376,224678.23,13.407796
CHN,2016,15754.97209910276,178400.89,8.8312187
RUS,2016,25247.54092850873,178400.89,14.152139
CHN,2017,20985.85353791314,226056.09,9.2834721
RUS,2017,32673.44766961283,226056.09,14.453691
CHN,2018,23383.27905933303,269423.5,8.6790047
RUS,2018,37034.68925566887,269423.5,13.745902
CHN,2019,29584.98540801765,260623.34,11.351625
RUS,2019,39943.89097428457,260623.34,15.32629
CHN,2020,17584.06981090153,188254.22,9.3405981
RUS,2020,37429.56762336612,188254.22,19.88246
CHN,2021,18551.85125721761,238916.05,7.7650084
RUS,2021,49206.93744677288,238916.05,20.595911
CHN,2022,28073.54293930358,300323.06,9.3477812
RUS,2022,52221.66982707234,300323.06,17.388498
CHN,2023,63060.89993028544,369943.25,17.046101
RUS,2023,51844.3368870587,369943.25,14.014132
CHN,2024,60101.81600469523,401417.03,14.972413
RUS,2024,55561.73604886111,401417.03,13.8414
