year,flow,share_sq
2015,Imports,.25405307028268
2015,Exports,.3199301617203228
2016,Imports,.2398115157893699
2016,Exports,.354841162455642
2017,Imports,.2430338118210784
2017,Exports,.4216969870050911
2018,Imports,.2489298204127408
2018,Exports,.3920482628139282
2019,Imports,.2144877766604623
2019,Exports,.4012303961339388
2020,Imports,.1785493923910053
2020,Exports,.3425767610309217
2021,Imports,.191478484826348
2021,Exports,.3862115420786343
2022,Imports,.2076197415881325
2022,Exports,.3915323246400249
2023,Imports,.2030597516059061
2023,Exports,.3533574352651615
2024,Imports,.2198709367171432
2024,Exports,.3729625523226863
