year,export_value,import_value,trade_balance,total_trade,export_concentration,china_share,rus_share,asymmetry_ratio,chn_rus_share_ratio
2015,10960.27486406879,10175.47509642139,784.79974,21135.75,.31993017,.18970825,.27038771,.92839599,.70161569
2016,8429.851886400858,7325.1202127019,1104.7317,15754.972,.35484117,.18147796,.29082072,.86895007,.62402004
2017,11595.94921271337,9389.904325199766,2206.0449,20985.854,.42169699,.18888205,.29407561,.80975729,.64229077
2018,12614.95231539584,10768.32674393718,1846.6256,23383.279,.39204827,.17546254,.27789947,.85361612,.63138855
2019,16007.73365141203,13577.25175660562,2430.4819,29584.986,.40123039,.22698112,.30645645,.84816825,.74066359
2020,13673.49828660094,3910.57152430059,9762.9268,17584.07,.34257677,.18844599,.40112737,.28599641,.46979091
2021,13703.80490704193,4848.046350175682,8855.7588,18551.852,.38621154,.15754357,.41786864,.35377374,.37701696
2022,20923.54141376332,7150.001525540263,13773.54,28073.543,.39153233,.1878233,.34938395,.34172043,.53758419
2023,29517.37132805162,33543.52860223379,-4026.1572,63060.898,.35335743,.31859773,.26192915,1.1363996,1.2163508
2024,29794.9542826069,30306.86172208832,-511.90744,60101.816,.37296256,.28187573,.26058289,1.017181,1.0817124
